id,activity_type,distance,duration,calories,hr_avg,hr_max,hr_min,altitude_avg,altitude_max,altitude_min,ascent,descent,steps,num_hills,avg_altitude,avg_ascent,distance_hills,hills_share
3563,Biking,60679.27,8805.0,1184,150.96309592188396,196,101,198.79575086940918,207.39999389648438,184.8000030517578,38.59999084472656,44.59999084472656,9909,2,193.20000457763672,3.9000015258789062,0.016622048300175545,0.0002739328983386838
3564,Biking,31378.57,7083.0,942,,,,191.01358770287555,232.39999389648438,177.39999389648438,109.80000305175781,105.39999389648438,5065,2,207.79999923706055,23.300003051757812,0.10957217372785588,0.0034919428682650576
3565,Biking,1.52,649.0,73,116.62461538461538,129,100,303.72891207181493,307.6000061035156,297.20001220703125,10.79998779296875,10.0,519,1,303.3999938964844,0.79998779296875,6.4852674720492864e-06,0.004266623336874531
3566,Biking,41592.0,4361.0,725,157.5457700650759,194,119,312.6547509712666,440.79998779296875,255.1999969482422,414.79994201660156,432.3999481201172,,6,299.5999984741211,16.866668701171875,0.08199920736784369,0.0019715139297904333
3567,Biking,32552.06,3161.0,740,178.37722185648454,200,117,342.71033428059036,441.0,324.3999938964844,173.39999389648438,171.0,,3,352.53334045410156,25.066670735677082,0.0420635561960481,0.001292193372586807
3568,Biking,65572.95,33807.0,1168,135.70885005636978,179,94,225.74937986440563,267.6000061035156,187.1999969482422,498.5999755859375,539.3999786376953,,10,243.99999923706054,6.54000244140625,0.3502892772113069,0.005341978318976147
3569,Biking,123463.79000000001,20044.0,2238,141.18498578428407,191,78,416.8845680619417,1189.0,196.8000030517578,2171.7999420166016,2230.399932861328,16425,16,375.59375047683716,66.91250133514404,0.033188313724953705,0.0002688100999082703
3570,Biking,176.60999999999999,5437.0,1023,154.75213675213675,199,112,176.0484389606704,177.0,174.60000610351562,2.0,2.399993896484375,,2,176.70000457763672,0.0,6.86733368911649e-05,0.00038884172408790505
3571,Biking,76527.44,9790.0,1513,162.62311015118792,211,112,259.5672784974199,397.79998779296875,177.1999969482422,902.8001403808594,925.400146484375,4488,21,262.7761913481213,10.409524100167411,0.7582599602134772,0.009908340854123399
3572,Biking,126780.79000000001,17003.0,2209,155.75264705882353,191,105,223.5778676297875,315.6000061035156,175.60000610351562,928.5999603271484,929.1999664306641,16706,18,242.69444613986545,17.47777811686198,0.09077706818736328,0.0007160159531058552
3573,Biking,51857.06,6910.0,838,137.8450404427416,188,96,225.11919963994194,278.79998779296875,200.0,266.1999816894531,269.3999786376953,,6,245.36667251586914,11.066668192545572,0.1689501881368673,0.0032579978143162627
3574,Biking,87030.60999999999,11771.0,1378,138.21310160427808,194,98,240.91171179786724,383.6000061035156,186.60000610351562,648.8000640869141,646.8000640869141,12051,8,298.6499996185303,21.40000343322754,0.06797132598398592,0.0007810048209932796
3575,Biking,44202.73,6551.0,815,138.7040139616056,182,84,289.1712386845294,368.79998779296875,226.39999389648438,487.9999237060547,550.7999420166016,,11,300.8727278275923,5.3454506613991475,0.1510844103242936,0.00341798821756696
3576,Biking,26438.249999999996,3499.0,477,,,,175.255885912214,180.60000610351562,170.1999969482422,10.400009155273438,6.600006103515625,4191,1,178.70000457763672,3.8000030517578125,0.03197918608772353,0.0012095802894565085
3577,Biking,32894.38,3720.0,705,,,,175.42597624260407,183.1999969482422,168.0,25.399993896484375,30.599990844726562,4975,1,180.5999984741211,0.0,0.004245603163966788,0.00012906773631139387
3578,Biking,13590.44,2040.0,372,,,,111.24956085807399,115.19999694824219,107.80000305175781,23.399986267089844,26.59998321533203,,1,113.5999984741211,0.0,0.0250276623127724,0.0018415637987270756
3579,Biking,59802.7,7302.0,1144,156.7869017632242,206,115,189.10690190005363,196.0,175.39999389648438,267.800048828125,264.2000427246094,9368,9,187.3777787950304,2.1777784559461804,0.4283732867511348,0.007163109470828823
3580,Biking,103489.1,16113.0,1925,148.07741364038972,197,103,245.56928283312976,318.20001220703125,203.8000030517578,969.8000030517578,950.0000152587891,,14,242.20714460100447,14.571427481515068,0.1952912665297653,0.0018870708753846086
3581,Biking,9265.0,1014.0,1027,162.01876675603216,188,121,222.89973179712374,234.0,212.0,60.59992980957031,60.19993591308594,6259,2,221.8000030517578,3.0999984741210938,0.009235972942313073,0.000996867020217277
3582,Biking,29326.17,3363.0,932,,,,200.19916602770488,209.39999389648438,190.0,73.40003967285156,70.60005187988281,,3,196.66666666666666,2.73333740234375,0.0843428488413286,0.0028760267311186086
3583,Biking,12201.939999999999,7148.0,374,143.42629482071712,160,119,376.8489481608073,390.79998779296875,242.1999969482422,206.59999084472656,189.8000030517578,2851,3,385.3333333333333,5.599995930989583,0.0010648642601958469,8.72700783806384e-05
3584,Biking,53677.04,4578.0,1674,,,,269.6185258066886,287.0,231.0,257.7999267578125,264.59991455078125,,7,265.9142848423549,9.399998256138392,0.24456229764561335,0.004556180773858122
3585,Biking,115640.52,15245.0,1662,137.63214972887877,195,68,188.48100555675657,323.0,140.60000610351562,864.6000366210938,818.4000396728516,,14,187.992858341762,17.75714329310826,0.19621858524203933,0.0016967978459629836
3586,Biking,34748.65,4338.0,686,,,,164.15858735657793,173.8000030517578,153.8000030517578,27.800003051757812,35.19999694824219,5133,1,157.5,0.0,0.003427787077946048,9.864518702010142e-05
3587,Biking,91594.84,35670.0,1463,130.11171293161814,182,92,241.06056408113395,373.6000061035156,178.60000610351562,483.00006103515625,521.8000640869141,,9,258.66666920979816,14.488886515299479,0.36042430731941877,0.00393498484542818
3588,Biking,19454.65,1980.0,505,183.70830271858927,203,142,186.45819259968687,191.60000610351562,180.8000030517578,313.00006103515625,307.6000518798828,,9,184.05555640326605,1.9555579291449652,0.07804344150628763,0.004011557211581171
3589,Biking,20758.65,2305.0,714,,,,180.7455639133792,206.39999389648438,171.60000610351562,66.99998474121094,33.59999084472656,3297,2,184.4499969482422,16.699996948242188,0.09077492001874723,0.004372872032562196
3590,Biking,138954.73,19700.0,2222,138.49210607780415,187,90,31.904241052422467,244.39999389648438,-91.80000305175781,1852.599974513054,1996.3999699354172,,25,35.603999512195585,22.43999954223633,0.2623085110901874,0.001887726391826945
3591,Biking,104285.62000000001,14854.0,1921,152.25455274769354,195,102,225.33712109460959,362.20001220703125,152.39999389648438,526.6000671386719,495.6000671386719,14060,6,284.78333536783856,34.6000010172526,0.04869097090628275,0.00046690014314804617
3592,Biking,83776.55,10430.0,1370,155.58152831225948,195,101,239.18403546971368,408.20001220703125,175.0,456.59999084472656,462.1999969482422,12371,7,264.0,30.91428484235491,0.06371931238467707,0.0007605864932928973
3593,Biking,91645.95,13630.0,1483,141.1551107934239,175,56,213.04044140912873,311.20001220703125,173.1999969482422,486.60003662109375,479.2000274658203,13591,8,230.06249904632568,22.549999237060547,0.023639778266450417,0.0002579467861531297
3594,Biking,48656.7,6577.0,873,152.23088455772114,188,114,151.85437350675858,233.0,110.19999694824219,247.79998016357422,265.7999801635742,,4,173.0,23.10000228881836,0.03346105997721341,0.0006876968634784811
3595,Biking,72009.95999999999,8161.0,1166,148.93747587803938,181,106,214.7091743825532,233.1999969482422,201.1999969482422,88.20001220703125,91.40000915527344,10667,3,217.73332977294922,1.3333333333333333,0.026474391739507018,0.00036764902715550766
3596,Biking,31280.64,12269.0,759,170.01736972704714,202,72,516.2578656628783,537.4000244140625,481.6000061035156,983.6000671386719,1004.60009765625,1959,24,514.4708309173584,7.166666666666667,1.33210322042637,0.04258554877478115
3597,Biking,54474.32,9128.0,1024,142.6832229580574,193,100,149.25386405254304,231.1999969482422,121.19999694824219,282.39998626708984,391.99999237060547,,6,155.0999984741211,10.699999491373697,0.09472963413501395,0.0017389778180804084
3598,Biking,35210.78,9406.0,719,132.0268364011698,188,80,389.98200552766633,411.20001220703125,364.6000061035156,267.8000793457031,282.8000793457031,4302,7,379.92857142857144,3.371429443359375,0.06417951749871546,0.0018227235380390738
3599,Biking,21565.73,4625.0,387,134.30537974683546,186,84,399.16657964972,406.0,374.6000061035156,89.39999389648438,68.60000610351562,2930,3,397.7333272298177,7.666666666666667,0.03429828341250209,0.0015904067894989917
3600,Biking,479.45000000000005,5326.0,778,140.02257336343115,181,102,19.822972400768382,21.0,18.799999237060547,4.0,4.200000762939453,,1,20.899999618530273,0.0,0.0051516731605290396,0.010744964356093522
3601,Biking,74286.28,10852.0,1348,134.23190602500947,172,84,249.60121275359774,625.7999877929688,0.20000000298023224,1284.9999678581953,686.9999802559614,,12,293.50000178813934,60.433330138524376,0.06818134652193197,0.0009178188290210786
3602,Biking,60444.25,7967.0,932,132.91244712216383,184,94,180.73272037226292,278.79998779296875,151.0,330.7999725341797,326.39996337890625,8491,6,213.53333155314127,20.3000005086263,0.015452067699691922,0.0002556416482906467
3603,Biking,103.77,237.0,447,124.36363636363636,128,122,193.00909077037466,193.1999969482422,193.0,0.1999969482421875,0,5350,1,193.0999984741211,0.1999969482421875,0.0018322463202604467,0.01765680177566201
3604,Biking,5020.35,3477.0,488,149.44786096256684,189,110,182.40160122350633,188.1999969482422,178.60000610351562,29.999984741210938,30.999984741210938,,2,183.75,0.0,0.01229560272749675,0.0024491524948453292
3605,Biking,62422.76,11940.0,1099,135.15260684716938,189,85,271.9416870506425,384.3999938964844,176.8000030517578,810.7999114990234,811.1999053955078,,10,295.7800018310547,22.280000305175783,0.31542216410895896,0.005052999324428445
3606,Biking,94170.42,11427.0,1399,143.15376763177431,181,114,253.78517686302328,415.0,214.39999389648438,685.60009765625,684.60009765625,11869,8,279.3625011444092,26.850000381469727,0.02178957520348696,0.000231384496357635
3607,Biking,47481.57,6645.0,884,149.32588662384808,194,103,155.63038247073038,268.3999938964844,64.5999984741211,742.6000289916992,729.2000198364258,,10,163.94999923706055,24.240000915527343,0.14008952638040714,0.0029503979413571866
